Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0805_2012Metric,141.287500,-45.400000,-90.000000,bottom
C2,22pF,C_0805_2012Metric,132.712500,-45.400000,90.000000,bottom
C3,1uF,C_0805_2012Metric,129.381250,-64.293750,-90.000000,bottom
C4,0.1uF,C_0805_2012Metric,145.256250,-60.168750,90.000000,bottom
C5,0.1uF,C_0805_2012Metric,134.143750,-53.818750,90.000000,bottom
C6,0.1uF,C_0805_2012Metric,141.287500,-73.025000,180.000000,bottom
C7,10uF,C_0805_2012Metric,133.506250,-73.025000,0.000000,bottom
D1,SOD-123,D_SOD-123,165.100000,-34.068750,90.000000,bottom
D2,SOD-123,D_SOD-123,184.150000,-34.068750,90.000000,bottom
D3,SOD-123,D_SOD-123,203.200000,-34.068750,90.000000,bottom
D4,SOD-123,D_SOD-123,222.250000,-34.068750,90.000000,bottom
D5,SOD-123,D_SOD-123,165.100000,-53.118750,90.000000,bottom
D6,SOD-123,D_SOD-123,184.150000,-53.118750,90.000000,bottom
D7,SOD-123,D_SOD-123,203.200000,-53.118750,90.000000,bottom
D8,SOD-123,D_SOD-123,222.250000,-53.118750,90.000000,bottom
D9,SOD-123,D_SOD-123,165.100000,-72.168750,90.000000,bottom
D10,SOD-123,D_SOD-123,184.150000,-72.168750,90.000000,bottom
D11,SOD-123,D_SOD-123,203.200000,-72.293750,90.000000,bottom
D12,SOD-123,D_SOD-123,222.250000,-72.293750,90.000000,bottom
D13,SOD-123,D_SOD-123,165.100000,-91.218750,90.000000,bottom
D14,SOD-123,D_SOD-123,184.150000,-91.218750,90.000000,bottom
D15,SOD-123,D_SOD-123,203.200000,-91.218750,90.000000,bottom
D16,SOD-123,D_SOD-123,222.250000,-91.218750,90.000000,bottom
F1,500mA,Fuse_1206_3216Metric,132.368750,-37.306250,-90.000000,bottom
R1,10k,R_0805_2012Metric,130.968750,-53.975000,-90.000000,bottom
R2,22,R_0805_2012Metric,138.906250,-35.600000,-90.000000,bottom
R3,22,R_0805_2012Metric,136.525000,-35.600000,-90.000000,bottom
R4,10k,R_0805_2012Metric,145.375000,-69.850000,-90.000000,bottom
SW1,SW_Push,SKQG-1155865,138.037500,-96.575000,180.000000,bottom
U1,ATmega32U4-A,TQFP-44_10x10mm_P0.8mm,137.337500,-64.150000,0.000000,bottom
USB1,Molex-0548190589,Molex-0548190589,138.118750,-26.456250,-90.000000,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,137.012500,-45.343750,180.000000,bottom